Current(A),Voltage(V),Temperature (C)_1,Temperature (C)_2,SOC
0.0,3.553365946,30.66140175,30.43483925,97.0
0.0,3.552750587,30.60050964,30.41806984,97.0
0.0,3.552442789,30.57006264,30.35716248,97.0
0.0,3.552134991,30.55323219,30.30995369,97.0
0.0,3.551519394,30.67179489,30.4591465,97.0
0.0,3.550903797,30.50596809,30.47284508,97.0
0.0,3.54998064,30.5195961,30.48655128,97.0
0.0,3.549672842,30.48915482,30.3510704,97.0
0.0,3.549672842,30.50278473,30.33433723,97.0
0.0,3.549057245,30.47234535,30.33433723,97.0
0.0,3.548749447,30.44190979,30.40893364,97.0
0.0,3.548441648,30.36739349,30.45308685,97.0
0.0,3.54813385,30.3369503,30.37849426,97.0
0.0,3.547518492,30.44190979,30.37849426,97.0
0.0,3.547210693,30.27606964,30.31761169,97.0
0.0,3.546595097,30.35059357,30.36177635,97.0
0.0,3.546595097,30.39467239,30.43637085,97.0
0.0,3.5459795,30.42511177,30.43637085,97.0
0.0,3.545056343,30.35059357,30.43637085,97.0
0.0,3.545056343,30.37056541,30.20186234,97.0
0.0,3.544748545,30.42427635,30.21103477,97.0
0.0,3.544440746,30.29864311,30.38326263,97.0
0.0,3.544440746,30.36289978,30.40323639,97.0
0.0,3.544132948,30.44411469,30.30455208,97.0
-0.049995046,3.527821064,30.44411469,30.48422432,95.0
-0.049995046,3.525974512,30.44411469,30.40963364,95.0
-0.049991511,3.52443552,30.47459412,30.47059631,95.0
-0.049991511,3.522588968,30.47459412,30.44011307,95.0
-0.049991511,3.521357775,30.53555298,30.29092026,95.0
-0.049991511,3.519819021,30.50507355,30.47059631,95.0
-0.049991511,3.518280268,30.50507355,30.54518318,95.0
-0.049991511,3.517049074,30.50507355,30.54518318,95.0
-0.049995046,3.515510321,30.61005974,30.47059631,95.0
-0.049995046,3.514279127,30.53555298,30.24680328,95.0
-0.049991511,3.51335597,30.53555298,30.35189247,95.0
-0.049987979,3.512124777,30.56603432,30.42648888,95.0
-0.049991511,3.510893583,30.56603432,30.54518318,94.0
-0.049995046,3.509662628,30.53555298,30.32140732,94.0
-0.049991511,3.508739233,30.4610424,30.47059631,94.0
-0.049991511,3.507816076,30.53555298,30.32140732,94.0
-0.049991511,3.506277084,30.4610424,30.32140732,94.0
-0.049991511,3.505046129,30.61005974,30.17219353,94.0
-0.049995046,3.503814936,30.56603432,30.42648888,94.0
-0.049987979,3.502891541,30.49152374,30.30777931,94.0
-0.049991511,3.501660585,30.49152374,30.35189247,94.0
-0.049995046,3.50073719,30.52200508,30.51793861,94.0
-0.049995046,3.499506235,30.59651184,30.39924049,94.0
-0.049991511,3.498890638,30.68794632,30.39924049,94.0
-0.049991511,3.497659445,30.508461,30.26366234,94.0
-0.049991511,3.496736288,30.55248642,30.36875153,94.0
-0.049987979,3.495812893,30.58296776,30.50431633,93.0
-0.049991511,3.494889498,30.53894234,30.32464027,93.0
-0.049991511,3.493658543,30.43394852,30.35512924,93.0
